,supplier_name,address,lat,lng,country,region
0,3M Company,"905 Adams Street, Hutchinson, Minnesota, USA",44.88169800000001,-94.3604312,United States,Minnesota
1,3M Company,"577 Keumeui-ri, Jangan-myon, Hwaseong, Gyeonggi-Do, Korea",41.5800945,-71.4774291,United States,Rhode Island
2,3M Company,"1425 Stokke Parkway, Menomonie, Wisconsin, USA",44.9009399,-91.8842116,United States,Wisconsin
3,3M Company,"235 Zhongyuan Road, Suzhou, Jiangsu, China",31.3235978,120.780686,China,Jiangsu Sheng
4,3M Company,"No. 312, Section 1, Huandong Road, Sinshih Township, Tainan, Taiwan",23.1000361,120.2856783,Taiwan,Tainan City
5,3M Company,"5500 Oaza Osanagi, Higashine, Yamagata, Japan",38.4152096,140.4099149,Japan,Yamagata Prefecture
6,3M Company,"3406 E. Pleasant Street, Knoxville, Iowa, USA",41.31998189999999,-93.0650431,United States,Iowa
7,3M Company,"1030 Lake Road, Medina, Ohio, USA",41.1142305,-81.89358589999999,United States,Ohio
8,AAC Technologies Holdings Inc.,"Building 5, 6th floor, Nanyou Tianan Industry Park, Dengliang Road, NanShan District, Shenzhen, Guangdong, China",22.5098639,113.9300198,China,Guangdong Sheng
9,AAC Technologies Holdings Inc.,"No. 8 Fengqi Road, High Tech. Industry Development Area, Wujin District, Changzhou, Jiangsu, China",31.661726,119.947418,China,Jiangsu Sheng
10,AAC Technologies Holdings Inc.,"No. 66 Yanghuxi Road, Wujin District, Changzhou, Jiangsu, China",31.6977436,120.1007102,China,Jiangsu Sheng
11,"Advanced International Multitech Co., Ltd.","Building F, Pengjinghui Industrial Park, No. 52 Tenth Road, Long Yean Village, Humen Town, Dongguan, Guangdong, China",22.814704,113.672784,China,Guangdong
12,"Advanced International Multitech Co., Ltd.","No. 2 South 5th Road, K.E.P.Z. Kaohsiung, Taiwan",22.6272784,120.3014353,Taiwan,Kaohsiung City
13,Advanced Semiconductor Engineering Inc.,"76 Saneopdanji-gil, Paju, Gyeonggi-Do, Korea",37.7277826,126.7136247,South Korea,Gyeonggi-do
14,Advanced Semiconductor Engineering Inc.,"26 Chin 3rd Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",22.7175372,120.3031871,Taiwan,Kaohsiung City
15,Advanced Semiconductor Engineering Inc.,"1F, 550 Chung-Hwa Road, Section 1, Chungli, Taoyuan, Taiwan",24.9721514,121.2053963,Taiwan,Taoyuan City
16,Advanced Semiconductor Engineering Inc.,"1F, No. 115 Nei-Huan North Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",22.7239579,120.2997379,Taiwan,Kaohsiung City
17,Advanced Semiconductor Engineering Inc.,"No. 107 Neihuan N. Road, Nanzi District, Kaohsiung, Taiwan",22.7239579,120.2997379,Taiwan,Kaohsiung City
18,Advanced Semiconductor Engineering Inc.,"73 Kai Fa Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",22.719774,120.300447,Taiwan,Kaohsiung City
19,Advanced Semiconductor Engineering Inc.,"No. 501 Longgui Road, Jinqiao Export Processing (South) Zone, Pudong New Area, Shanghai, China",31.2249658,121.6839174,China,Shanghai Shi
20,Advanced Semiconductor Engineering Inc.,"No. 1558 Zhang Dong Road, Zhangjiang Hi-Tech Park, Shanghai, China",31.190315,121.588315,China,Shanghai
21,Advanced Semiconductor Engineering Inc.,"No. 188 Su Hong Xi Road, Suzhou Industrial Park, Suzhou, Jiangsu, China",31.3263611,120.6638973,China,Jiangsu Sheng
22,"Alps Electric Co., Ltd.","136-1 Kitahara, Furukawatsukanome, Osaki, Miyagi, Japan",38.586314,140.9378839,Japan,Miyagi Prefecture
23,"Alps Electric Co., Ltd.","6-3-36 Furukawa Nakazato, Osaki, Miyagi, Japan",38.5866922,140.9483136,Japan,Miyagi Prefecture
24,"Alps Electric Co., Ltd.","No. 5 Xingchuang 4 Road, Singapore Industrial Park, Wuxi, Jiangsu, China",31.528771,120.385039,China,Jiangsu Sheng
25,"Alps Electric Co., Ltd.","P.T. 10643 Nilai Industrial Estate, Nilai, Negeri Sembilan, Malaysia",2.831737,101.8141618,Malaysia,
26,"Alps Electric Co., Ltd.","6-1 Nishida, Kakuda, Miyagi, Japan",37.9770628,140.7819901,Japan,Miyagi Prefecture
27,"Alps Electric Co., Ltd.","1-3-5 Higashi Takami, Nagaoka, Niigata, Japan",37.935543,139.1090087,Japan,Niigata-ken
28,"Alps Electric Co., Ltd.","230 Shibue, Wakuya-cho, Tohda-gun, Miyagi Prefecture, Tohda-gun, Miyagi, Japan",38.5391456,141.1209789,Japan,Miyagi Prefecture
29,Amkor Technology Inc.,"No. 39 GuangFu North Road, Hsinchu Industrial Park, Hsinchu, Taiwan",24.7823005,121.0062859,Taiwan,
30,Amkor Technology Inc.,"No. 111 Yinglun Road Waigaoqiao Free Trade Zone, Shanghai, China",31.349964,121.588425,China,
31,Amkor Technology Inc.,"119 North Science Avenue, Special Economic Zone, Laguna Techno Park, Binan, Laguna, Philippines",14.2740357,121.0528596,Philippines,
32,Amkor Technology Inc.,"110 Anaji-ro, Gyeyang-gu, Incheon, Korea",37.52481849999999,126.7039023,South Korea,Incheon
33,Amkor Technology Inc.,"957 Daechon-dong, Buk-gu, Gwangju, Gyeonggi-Do, Korea",35.2316456,126.8543697,South Korea,Gwangju
34,Amkor Technology Inc.,"No. 11 GuangFu Road, Hsinchu Industrial Park, Hsinchu, Taiwan",24.8724412,121.0384742,Taiwan,
35,Amkor Technology Inc.,"Mirae-ro 150, Songdo, Incheon, Korea",37.4527576,126.7044778,South Korea,Incheon
36,Amkor Technology Inc.,"1F, No. 1 Kao-Ping Sec Chung-Feng Road, Lungtan Township, Taoyuan, Taiwan",24.8444927,121.2053963,Taiwan,Taoyuan City
